cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Gear Golem the Moving Fortress",1,"Ultra Rare",M,Unlimited,"Ancient Sanctuary",AST-018,30190809 
"Gearfried the Swordmaster",1,"Ultra Rare",M,Unlimited,"Flaming Eternity",FET-EN022,57046845 
"Geartown",1,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN057,37694547 
"Gem Flash Energy",8,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN059,57753602 
"Gemini Elf",1,"Secret Rare",M,Unlimited,"Labyrinth of Nightmare",LON-000,69140098 
"Gemini Lancer",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN025,26254876 
"Gemini Trap Hole",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN073,67045174 
"Generation Shift",7,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN055,34460239 
"Germ Infection",3,"Common",M,Unlimited,"Metal Raiders",MRD-136,24668830 
"Getsu Fuhma",4,"Rare",M,Unlimited,"Invasion of Chaos",IOC-089,21887179 
"Ghost Gardna",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN004,59965151 
"Giant Axe Mummy",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-023,78266168 
"Giant Germ",12,"Rare",M,Unlimited,"Magic Ruler",MRL-085,95178994 
"Giant Kozaky",16,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN022,58185394 
"Giant Orc",4,"Common",M,Unlimited,"Magician's Force",MFC-012,73698349 
"Giant Rat",10,"Rare",M,1st Edition,"Magic Ruler",MRL-079,97017120 
"Giant Soldier of Stone",8,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN124,13039848 
"Giant Trap Hole",1,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN080,80723580 
"Giant Trunade",12,"Super Rare",M,Unlimited,"Magic Ruler",MRL-048,42703248 
"Giant Turtle Who Feeds on Flames",8,"Common",M,Unlimited,"Magic Ruler",MRL-022,96981563 
"Gift Card",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN078,39526584 
"Gift of the Martyr",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN039,98792570 
"Gift of the Mystical Elf",12,"Common",M,Unlimited,"Pharaoh's Servant",PSV-009,98299011 
"Giga Gagagigo",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-056,43793530 
"Giga-Tech Wolf",3,"Common",M,1st Edition,"Metal Raiders",MRD-096,8471389 
"Gigantes",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-021,47606319 
"Gigantic Cephalotus",4,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN025,82116191 
"Gigaplant",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN026,53257892 
"Gigobyte",5,"Common",M,1st Edition,"Ancient Sanctuary",AST-056,53776525 
"Gilasaurus",3,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-071,45894482 
"Giltia the D. Knight",4,"Common",M,Unlimited,"Metal Raiders",MRD-094,51828629 
"Girochin Kuwagata",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-085,84620194 
"Gladiator Beast Alexander",1,"Super Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN017,42592719 
"Gladiator Beast Andal",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN001,90582719 
"Gladiator Beast Bestiari",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN020,41470137 
"Gladiator Beast Darius",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN031,25924653 
"Gladiator Beast Dimacari",3,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN023,31247589 
"Gladiator Beast Equeste",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN024,57731460 
"Gladiator Beast Gaiodiaz",1,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN043,90957527 
"Gladiator Beast Hoplomus",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN022,4253484 
"Gladiator Beast Murmillo",1,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN019,5975022 
"Gladiator Beast Retiari",1,"Secret Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN086,612115 
"Gladiator Beast Secutor",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN024,77642288 
"Gladiator Beast Spartacus",2,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN018,79580323 
"Gladiator Beast's Battle Archfiend Shield",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN060,8730435 
"Gladiator Beast's Battle Gladius",3,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN056,25407406 
"Gladiator Beast's Battle Halberd",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN055,99013397 
"Gladiator Lash",6,"Common",M,Unlimited,"Light of Destruction",LODT-EN075,97234686 
"Gladiator Proving Ground",6,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN061,35224440 
"Gladiator's Return",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN059,24285858 
"Glorious Illusion",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN071,61962135 
"Goblin Black Ops",1,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN030,66707058 
"Goblin Calligrapher",7,"Common",M,1st Edition,"Soul of the Duelist",SOD-EN004,12057781 
"Goblin Decoy Squad",4,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN032,18960169 
"Goblin Elite Attack Force",2,"Super Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN020,85306040 
"Goblin King",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-031,18590133 
"Goblin of Greed",3,"Common",M,Unlimited,"Dark Crisis",DCR-065,425934 
"Goblin Recon Squad",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN033,82324312 
"Goblin Thief",2,"Common",M,1st Edition,"Ancient Sanctuary",AST-045,45311864 
"Goddess with the Third Eye",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN097,53493204 
"Goe Goe the Gallant Ninja",4,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN024,10236520 
"Goggle Golem",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN023,21155323 
"Gogiga Gagagigo",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-001,39674352 
"Gokipon",14,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN019,14472500 
"Golden Bamboo Sword",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN062,74029853 
"Golem Sentry",5,"Common",M,Unlimited,"Flaming Eternity",FET-EN025,52323207 
"Gonogo",1,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN015,59797187 
"Good Goblin Housekeeping",10,"Common",M,Unlimited,"Flaming Eternity",FET-EN054,9744376 
"Gora Turtle",7,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-014,80233946 
"Gora Turtle of Illusion",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-066,42868711 
"Gorgon's Eye",16,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN058,52648457 
"Goyo Guardian",1,"Ultra Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN042,7391448 
"Gozen Match",8,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN079,53334471 
"Graceful Charity",6,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN095,79571449 
"Graceful Revival",2,"Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN064,98273947 
"Gradius",7,"Common",M,Unlimited,"Pharaoh's Servant",PSV-089,10992251 
"Gradius' Option",7,"Common",M,Unlimited,"Legacy of Darkness",LOD-060,14291024 
"Gragonith, Lightsworn Dragon",1,"Common",M,Unlimited,"Light of Destruction",LODT-EN025,21785144 
"Granadora",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-030,13944422 
"Grand Convergence",4,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN046,38430673 
"Grand Tiki Elder",7,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-011,13676474 
"Grandmaster of the Six Samurai",4,"Gold Rare",M,Limited,"Gold Series 2008",GLD1-EN026,83039729 
"Granmarg the Rock Monarch",1,"Ultimate Rare",M,Unlimited,"Flaming Eternity",FET-EN009,60229110 
"Grapple Blocker",3,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN087,32907538 
"Grass Phantom",6,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN031,41249545 
"Grave Lure",13,"Common",M,Unlimited,"The Lost Millennium",TLM-EN056,57270476 
"Grave Ohja",1,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN017,40937767 
"Grave Protector",1,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN190,11448373 
"Gravedigger Ghoul",3,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-065,82542267 
"Gravekeeper's Assailant",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-067,25262697 
"Gravekeeper's Cannonholder",3,"Common",M,1st Edition,"Pharaonic Guardian",PGD-066,99877698 
"Gravekeeper's Chief",2,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN013,62473983 
"Gravekeeper's Commandant",1,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN015,17393207 
"Gravekeeper's Curse",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-060,50712728 
"Gravekeeper's Guard",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-061,37101832 
"Gravekeeper's Servant",9,"Common",M,Unlimited,"Magic Ruler",MRL-031,16762927 
"Gravekeeper's Spear Soldier",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-062,63695531 
"Gravekeeper's Spy",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-059,24317029 
"Gravekeeper's Vassal",9,"Common",M,Unlimited,"Pharaonic Guardian",PGD-063,99690140 
"Gravekeeper's Watcher",1,"Rare",M,1st Edition,"Pharaonic Guardian",PGD-064,26084285 
"Graverobber",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN072,61705417 
"Graverobber's Retribution",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-083,33737664 
"Gravi-Crush Dragon",11,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN030,9391354 
"Gravitic Orb",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN029,29216198 
"Gravity Axe - Grarl",2,"Common",M,1st Edition,"Dark Crisis",DCR-034,32022366 
"Gravity Bind",5,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-073,85742772 
"Gray Wing",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-041,29618570 
"Great Long Nose",7,"Common",M,1st Edition,"Legacy of Darkness",LOD-068,2356994 
"Great Maju Garzett",4,"Rare",M,Unlimited,"Dark Crisis",DCR-063,47942531 
"Great Phantom Thief",3,"Rare",M,Unlimited,"Magician's Force",MFC-024,10809984 
"Greed",2,"Super Rare",M,Unlimited,"Soul of the Duelist",SOD-EN055,89405199 
"Greenkappa",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN103,61831093 
"Gren Maju Da Eiza",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-024,36584821 
"Gren, Tactician of Dark World",6,"Common",M,1st Edition,"Strike of Neos",STON-EN019,51232472 
"Griggle",2,"Common",M,Unlimited,"Magic Ruler",MRL-016,95744531 
"Ground Attacker Bugroth",5,"Common",M,1st Edition,"Metal Raiders",MRD-022,58314394 
"Ground Collapse",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-070,90502999 
"Gryphon's Feather Duster",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-091,34370473 
"Guard Dog",11,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN024,57346400 
"Guard Penalty",7,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN045,48653261 
"Guardian Baou",2,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN170,73544866 
"Guardian Elma",4,"Common",M,Unlimited,"Dark Crisis",DCR-005,74367458 
"Guardian Grarl",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN169,47150851 
"Guardian Kay'est",6,"Common",M,Unlimited,"Dark Crisis",DCR-009,9633505 
"Guardian of the Labyrinth",3,"Common",M,Unlimited,"Metal Raiders",MRD-083,89272878 
"Guardian of the Throne Room",1,"Common",M,1st Edition,"Magic Ruler",MRL-013,47879985 
"Guardian Sphinx",1,"Ultra Rare",M,Unlimited,"Dark Beginning 2",DB2-EN224,40659562 
"Guardian Statue",10,"Common",M,Unlimited,"The Lost Millennium",TLM-EN021,75209824 
"Guardian Tryce",2,"Rare",M,1st Edition,"Dark Crisis",DCR-010,46037213 
"Gust",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-017,73079365 
"Gyroid",14,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN007,18325492 
"H - Heated Heart",14,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN038,74825788 
"Hade-Hane",15,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN032,28357177 
"Hallowed Life Barrier",3,"Super Rare",M,Unlimited,"Soul of the Duelist",SOD-EN060,88789641 
"Hamburger Recipe",1,"Common",M,1st Edition,"Magic Ruler",MRL-063,80811661 
"Hammer Shot",4,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN038,26412047 
"Hand Destruction",3,"Rare",M,1st Edition,"Duelist Pack 7: Jesse Anderson",DP07-EN018,74519184 
"Hand of Nephthys",8,"Common",M,Unlimited,"Flaming Eternity",FET-EN006,98446407 
"Handcuffs Dragon",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN013,97904474 
"Hane-Hane",10,"Common",M,Unlimited,"Retro Pack 1",RP01-EN015,7089711 
"Hard Armor",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-074,20060230 
"Hard-sellin' Goblin",2,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN056,68875140 
"Hard-sellin' Zombie",5,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN057,94374859 
"Harpie Girl",11,"Common",M,Unlimited,"Rise of Destiny",RDS-EN004,34100324 
"Harpie Lady",13,"Common",M,Unlimited,"Metal Raiders",MRD-008,76812113 
"Harpie Lady 1",9,"Common",M,1st Edition,"Rise of Destiny",RDS-EN017,91932350 
"Harpie Lady 2",6,"Common",M,1st Edition,"Rise of Destiny",RDS-EN018,27927359 
"Harpie Lady 3",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN019,54415063 
"Harpie Lady Sisters",9,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN146,12206212 
"Harpie Queen",5,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN020,75064463 
"Harpies' Hunting Ground",3,"Common",M,Unlimited,"Rise of Destiny",RDS-EN038,75782277 
"Hayabusa Knight",1,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-086,21015833 
"Headless Knight",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-054,5434080 
"Healing Wave Generator",4,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN001,31281980 
"Heart of Clear Water",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-077,64801562 
"Heart of the Underdog",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-032,35762283 
"Heavy Mech Support Platform",9,"Common",M,Unlimited,"Rise of Destiny",RDS-EN011,23265594 
"Heavy Slump",16,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN054,52417194 
"Heavy Storm",5,"Super Rare",M,Unlimited,"Metal Raiders",MRD-142,19613556 
"Helping Robo for Combat",2,"Rare",M,Unlimited,"Magician's Force",MFC-022,47025270 
"Herald of Green Light",2,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN018,21074344 
"Herald of Orange Light",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN082,17266660 
"Herald of Purple Light",3,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN019,94689635 
"Hero Barrier",2,"Rare",M,Unlimited,"Elemental Energy",EEN-EN049,44676200 
"Hero Blast",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN064,37412656 
"Hero Counterattack",7,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN064,19024706 
"Hero Flash!!",6,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN042,191749 
"Hero Heart",4,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN037,67951831 
"Hero Kid",11,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN005,32679370 
"Hero Mask",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN045,75141056 
"Hero Medal",7,"Rare",M,Unlimited,"Strike of Neos",STON-EN050,10489311 
"Hero Signal",7,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN049,22020907 
"Hero's Rule 2",2,"Rare",M,Unlimited,"Duelist Pack 6: Jaden Yuki 3",DP06-EN025,85854214 
"Hibikime",4,"Common",M,Unlimited,"Metal Raiders",MRD-055,64501875 
"Hidden Spellbook",2,"Common",M,Unlimited,"Magician's Force",MFC-099,21840375 
"Hieroglyph Lithograph",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-086,10248192 
"High Tide Gyojin",2,"Common",M,Unlimited,"Magic Ruler",MRL-025,54579801 
"Hiita the Fire Charmer",2,"Common",M,Unlimited,"The Lost Millennium",TLM-EN028,759393 
"Hinotama",4,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-056,46130346 
"Hinotama Soul",3,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-026,96851799 
"Hiro's Shadow Scout",2,"Rare",M,1st Edition,"Magic Ruler",MRL-024,81863068 
"Hitotsu-Me Giant",5,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-002,76184692 
"Homunculus the Alchemic Being",8,"Common",M,Unlimited,"Rise of Destiny",RDS-EN034,40410110 
"Horn of Light",5,"Common",M,Unlimited,"Magic Ruler",MRL-004,38552107 
"Horn of the Unicorn",4,"Rare",M,1st Edition,"Magic Ruler",MRL-054,64047146 
"Horseytail",8,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN026,82994509 
"Horus the Black Flame Dragon LV4",2,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN006,75830094 
"Horus the Black Flame Dragon LV8",2,"Ultra Rare",M,Unlimited,"Soul of the Duelist",SOD-EN008,48229808 
"Horus' Servant",11,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN016,9264485 
"Hoshiningen",1,"Rare",M,1st Edition,"Metal Raiders",MRD-102,67629977 
"House of Adhesive Tape",4,"Common",M,Unlimited,"Magic Ruler",MRL-064,15083728 
"Howling Insect",5,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN025,93107608 
"Huge Revolution",4,"Common",M,Unlimited,"Magician's Force",MFC-041,65396880 
"Human-Wave Tactics",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-104,30353551 
"Humanoid Slime",1,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-003,46821314 
"Humanoid Worm Drake",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-005,5600127 
"Hungry Burger",3,"Common",M,Unlimited,"Magic Ruler",MRL-068,30243636 
"Hunter Dragon",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN004,96005454 
"Hunter Spider",2,"Common",M,Unlimited,"Metal Raiders",MRD-049,80141480 
"Hydrogeddon",6,"Common",M,Unlimited,"Elemental Energy",EEN-EN013,22587018 
"Hyena",5,"Common",M,Unlimited,"Flaming Eternity",FET-EN017,22873798 
"Hyosube",5,"Common",M,1st Edition,"Metal Raiders",MRD-054,2118022 
"Hyozanryu",6,"Rare",M,Unlimited,"Magic Ruler",MRL-075,62397231 
"Hyper Hammerhead",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-074,2671330 
"Hysteric Fairy",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-042,21297224 
"Icarus Attack",3,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN055,53567095 
"Illusionist Faceless Mage",7,"Common",M,Unlimited,"Metal Raiders",MRD-068,28546905 
"Impenetrable Formation",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN048,96631852 
"Imprisoned Queen Archfiend",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN032,52248570 
"Inaba White Rabbit",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-065,77084837 
"Incandescent Ordeal",2,"Common",M,1st Edition,"Dark Crisis",DCR-085,33031674 
"Indomitable Fighter Lei Lei",19,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN023,84173492 
"Infernal Dragon",1,"Ultra Rare",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN010,47754278 
"Infernal Incinerator",8,"Common",M,Unlimited,"Elemental Energy",EEN-EN012,23309606 
"Infernalqueen Archfiend",1,"Rare",M,Unlimited,"Dark Crisis",DCR-071,8581705 
"Inferno",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-019,74823665 
"Inferno Fire Blast",5,"Ultra Rare",M,Unlimited,"Soul of the Duelist",SOD-EN042,52684508 
"Infinite Cards",4,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-027,94163677 
"Infinite Dismissal",8,"Common",M,Unlimited,"Pharaoh's Servant",PSV-072,54109233 
"Infinity Dark",7,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN027,76520646 
"Injection Fairy Lily",1,"Secret Rare",M,Unlimited,"Legacy of Darkness",LOD-100,79575620 
"Inpachi",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-055,97923414 
"Insect Barrier",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-102,23615409 
"Insect Imitation",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-068,96965364 
"Insect Knight",4,"Common",M,Unlimited,"Flaming Eternity",FET-EN004,35052053 
"Insect Soldiers of the Sky",2,"Common",M,Unlimited,"Metal Raiders",MRD-101,7019529 
"Inspection",7,"Common",M,Unlimited,"Pharaoh's Servant",PSV-038,16227556 
"Instant Fusion",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN040,1845204 
"Instant Neo Space",1,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN048,11913700 
"Intercept",1,"Super Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN076,59695933 
"Interdimensional Matter Transporter",1,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN214,36261276 
"Interdimensional Warp",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN078,57384901 
"Interplanetary Invader "A"",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN034,14729426 
"Introduction to Gallantry",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN053,69091732 
"Invader of the Throne",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN013,3056267 
"Invasion of Flames",7,"Common",M,1st Edition,"Rise of Destiny",RDS-EN024,26082229 
"Invitation to a Dark Sleep",2,"Common",M,Unlimited,"Pharaoh's Servant",PSV-082,52675689 
"Iron Blacksmith Kotetsu",3,"Common",M,Unlimited,"Dark Crisis",DCR-064,73431236 
"Iron Chain Blaster",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN019,26157485 
"Iron Chain Coil",1,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN020,53152590 
"Iron Chain Dragon",4,"Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN040,19974580 
"Iron Chain Repairman",3,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN017,53274132 
"Iron Chain Snake",3,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN018,80769747 
"Island Turtle",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-095,4042268 
"Izanagi",1,"Super Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN030,6544078 
"Izanami",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN083,43543777 
"Jack's Knight",3,"Rare",M,Unlimited,"Elemental Energy",EEN-EN005,90876561 
"Jade Insect Whistle",4,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN101,95214051 
"Jade Knight",5,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN037,44364207 
"Jain, Lightsworn Paladin",2,"Common",M,1st Edition,"Light of Destruction",LODT-EN018,96235275 
"Jam Defender",9,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-028,21558682 
"Jar of Greed",1,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN242,83968380 
"Jar Robber",2,"Common",M,Unlimited,"Magician's Force",MFC-091,33784505 
"Jellyfish",4,"Common",M,Unlimited,"Metal Raiders",MRD-072,14851496 
"Jenis, Lightsworn Mender",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN025,83725008 
